time,value
0,1.07
3600,0.99
7200,1.0
10800,1.02
14400,0.97
18000,0.89
21600,0.85
25200,0.85
28800,0.77
32400,0.79
36000,1.82
39600,2.94
43200,3.42
46800,3.59
50400,3.54
54000,1.94
57600,1.72
61200,1.84
64800,1.91
68400,1.95
72000,1.98
75600,2.07
79200,2.2
82800,2.25
86400,2.22
90000,2.13
93600,1.97
97200,1.82
100800,1.64
104400,1.49
108000,1.43
111600,1.37
115200,1.65
118800,2.01
122400,2.55
126000,3.23
129600,3.41
133200,3.29
136800,2.9
140400,1.34
144000,1.44
147600,1.51
151200,1.52
154800,1.53
158400,1.56
162000,1.65
165600,1.83
169200,1.97
172800,2.03
176400,2.03
180000,2.02
183600,1.96
187200,1.87
190800,1.8
194400,1.79
198000,1.87
201600,3.14
205200,3.44
208800,2.66
212400,1.94
216000,1.54
219600,1.47
223200,1.54
226800,1.04
230400,1.26
234000,1.71
237600,2.3
241200,2.9
244800,2.95
248400,2.59
252000,2.21
255600,1.88
259200,1.65
262800,1.52
266400,1.41
270000,1.27
273600,1.21
277200,1.16
280800,1.08
284400,0.95
288000,0.94
291600,1.0
295200,0.44
298800,1.07
302400,1.69
306000,1.92
309600,2.05
313200,1.24
316800,1.25
320400,1.4
324000,1.46
327600,1.48
331200,1.47
334800,1.43
338400,1.42
342000,1.44
345600,1.46
349200,1.48
352800,1.48
356400,1.51
360000,1.48
363600,1.4
367200,1.29
370800,1.12
374400,0.86
378000,0.8
381600,1.42
385200,2.42
388800,3.23
392400,3.81
396000,4.01
399600,2.58
403200,1.82
406800,1.73
410400,1.73
414000,1.72
417600,1.69
421200,1.68
424800,1.7
428400,1.71
432000,1.63
435600,1.53
439200,1.42
442800,1.22
446400,1.02
450000,0.82
453600,0.76
457200,1.05
460800,1.01
464400,2.07
468000,3.44
471600,4.54
475200,5.21
478800,5.5
482400,5.21
486000,2.87
489600,2.0
493200,1.94
496800,1.83
500400,1.76
504000,1.7
507600,1.66
511200,1.68
514800,1.73
518400,1.72
522000,1.65
525600,1.51
529200,1.3
532800,0.91
536400,0.35
540000,0.41
543600,0.95
547200,0.93
550800,1.72
554400,2.98
558000,5.38
561600,7.54
565200,8.5
568800,8.05
572400,7.06
576000,5.99
579600,6.06
583200,6.18
586800,6.04
590400,5.24
594000,4.64
597600,4.14
601200,3.86
604800,2.06
608400,1.73
612000,1.61
615600,1.63
619200,1.69
622800,1.79
626400,1.95
630000,2.41
633600,4.54
637200,6.25
640800,6.89
644400,7.04
648000,7.03
651600,7.03
655200,7.17
658800,7.04
662400,5.78
666000,4.77
669600,4.53
673200,4.51
676800,4.6
680400,4.3
684000,3.42
687600,2.94
691200,3.21
694800,3.77
698400,4.18
702000,4.63
705600,5.11
709200,5.53
712800,5.54
716400,5.33
720000,5.69
723600,6.92
727200,7.39
730800,7.51
734400,7.47
738000,7.52
741600,7.45
745200,6.47
748800,4.31
752400,3.71
756000,3.79
759600,3.88
763200,3.89
766800,3.8
770400,3.88
774000,3.88
777600,3.78
781200,3.61
784800,3.36
788400,3.11
792000,2.8
795600,2.59
799200,2.41
802800,2.23
806400,3.1
810000,2.89
813600,3.54
817200,4.42
820800,4.64
824400,4.75
828000,4.56
831600,2.82
835200,2.03
838800,2.18
842400,2.42
846000,2.52
849600,2.46
853200,2.4
856800,2.39
860400,2.36
864000,2.26
867600,2.08
871200,1.89
874800,1.76
878400,1.63
882000,1.57
885600,1.56
889200,1.53
892800,2.31
896400,2.96
900000,4.14
903600,4.83
907200,5.42
910800,5.88
914400,6.1
918000,5.57
921600,3.95
925200,3.1
928800,2.9
932400,3.13
936000,3.4
939600,3.59
943200,3.54
946800,3.7
950400,4.45
954000,4.58
957600,4.69
961200,4.97
964800,4.69
968400,4.5
972000,4.76
975600,4.83
979200,4.7
982800,5.14
986400,6.12
990000,6.39
993600,6.81
997200,6.97
1000800,6.66
1004400,5.61
1008000,2.75
1011600,1.67
1015200,1.48
1018800,1.67
1022400,2.05
1026000,2.66
1029600,3.49
1033200,3.61
1036800,3.6
1040400,3.65
1044000,3.71
1047600,3.78
1051200,3.32
1054800,3.29
1058400,3.75
1062000,4.55
1065600,5.43
1069200,7.76
1072800,8.73
1076400,8.68
1080000,8.39
1083600,8.02
1087200,7.41
1090800,6.08
1094400,2.7
1098000,1.33
1101600,1.05
1105200,0.83
1108800,0.89
1112400,1.06
1116000,1.23
1119600,1.35
1123200,1.45
1126800,1.54
1130400,1.6
1134000,1.65
1137600,1.69
1141200,1.74
1144800,1.77
1148400,1.76
1152000,2.25
1155600,2.62
1159200,2.42
1162800,2.9
1166400,2.9
1170000,2.75
1173600,2.29
1177200,0.97
1180800,1.02
1184400,1.15
1188000,1.23
1191600,1.29
1195200,1.34
1198800,1.34
1202400,1.35
1206000,1.37
1209600,0.97
1213200,0.94
1216800,0.91
1220400,0.89
1224000,0.94
1227600,1.06
1231200,1.28
1234800,2.03
1238400,3.21
1242000,3.34
1245600,3.25
1249200,3.14
1252800,3.05
1256400,2.99
1260000,2.99
1263600,2.81
1267200,1.46
1270800,1.64
1274400,1.69
1278000,1.45
1281600,1.16
1285200,0.94
1288800,0.92
1292400,1.13
1296000,1.25
1299600,1.13
1303200,1.01
1306800,1.12
1310400,1.28
1314000,1.4
1317600,1.59
1321200,2.13
1324800,3.67
